LOCUS.0	LOCUS	LAT	LON	COORD.BASED	POPULATION	POPULATION.20200101	POPULATION.20230101.total	POPULATION.20230101.urban	POPULATION.20230101.rural	REGION.RUS.LONG	REGION.RUS	FED.DISCTRICT	REGION.INCR	REGION.RosStat	REGION.20230101
Sevastopol annex.	Sevastopol annex.	44.6143619	33.35783		448829	449138	558273	516391	41882	г. Севастополь	Севастополь	Южный федеральный округ	Севастополь	г. Севастополь	г Севастополь - город федерального значения
Smolensk	Smolensk	54.7802509	31.8595347		934747	934889	873041	634366	238675	Смоленская область	Смоленская обл.	Центральный федеральный округ	Смоленская область	Смоленская область	Смоленская область
Stavropol	Stavropol	45.0451804	41.8560015		2803021	2803573	2891204	1753824	1137380	Ставропольский край	Ставропольский край	Северо-Кавказский федеральный округ	Ставропольский край	Ставропольский край	Ставропольский край
Tambov	Tambov	52.7300198	41.3728646		1006962	1006748	966250	583260	382990	Тамбовская область	Тамбовская обл.	Центральный федеральный округ	Тамбовская область	Тамбовская область	Тамбовская область
Tver	Tver	56.8597424	35.7493867		1260345	1260379	1211183	924628	286555	Тверская область	Тверская обл.	Центральный федеральный округ	Тверская область	Тверская область	Тверская область
Tomsk	Tomsk	56.4896437	84.8685475		1079051	1079271	1052106	750000	302106	Томская область	Томская обл.	Сибирский федеральный округ	Томская область	Томская область	Томская область
Tula	Tula	54.1849337	37.487363		1466025	1466127	1481471	1083878	397593	Тульская область	Тульская обл.	Центральный федеральный округ	Тульская область	Тульская область	Тульская область
Tiumen	Tiumen	57.1428274	65.2667765		3211770	1537416	1608494	1088826	519668	Тюменская область без автономных округов	Тюменская обл.	Уральский федеральный округ	Тюменская область	Тюменская обл без автономий	Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа)
Udmurtia	Udmurtia	56.8639188	53.0880171	Izhevsk	1501005	1500955	1442251	948447	493804	Удмуртская Республика	Удмуртия	Приволжский федеральный округ	Удмуртская Республика	Удмуртская Республика	Удмуртская Республика
Ulianovsk	Ulianovsk	54.2798627	48.1051368		1229687	1229824	1181006	909086	271920	Ульяновская область	Ульяновская обл.	Приволжский федеральный округ	Ульяновская область	Ульяновская область	Ульяновская область
Khabarovsk	Khabarovsk	48.4649872	134.973342		1315310	1315643	1284090	1072186	211904	Хабаровский край	Хабаровский край	Дальневосточный федеральный округ	Хабаровский край	Хабаровский край	Хабаровский край
Khanty-Mansiisk	Khanty-Mansiisk	61.0163758	69.0342351		1674086	1674676	1730353	1595766	134587	Ханты-Мансийский автономный округ-Югра	Ханты-Мансийский авт. окр. — Югра	Уральский федеральный округ	Ханты-Мансийский АО	Ханты-Мансийский автономный округ - Югра	Ханты-Мансийский автономный округ - Югра
Cheliabinsk	Cheliabinsk	55.1520801	61.1283875		3466960	3466369	3407145	2814147	592998	Челябинская область	Челябинская обл.	Уральский федеральный округ	Челябинская область 	Челябинская область	Челябинская область
Chechen rep.	Chechen rep.	43.3217655	45.5659246	Groznyi	1476752	1478726	1533209	584739	948470	Чеченская Республика	Чеченская респ.	Северо-Кавказский федеральный округ	Чеченская Республика	Чеченская Республика	Чеченская Республика
Chuvashia	Chuvashia	56.1042955	47.1893782	Cheboksary	1217820	1217818	1173177	754451	418726	Чувашская Республика	Чувашская респ.	Приволжский федеральный округ	Чувашская Республика	Чувашская Республика	Чувашская Республика
Chukotka	Chukotka	64.7279718	177.4654577	Anadyr	50288	50288	47840	33047	14793	Чукотский автономный округ	Чукотский авт. окр.	Дальневосточный федеральный округ	Чукотский автономный округ	Чукотский автономный округ	Чукотский автономный округ
Yamalo-Nenets AO	Yamalo-Nenets AO	66.5580591	66.5350883	Salekhard	544008	544444	512387	434071	78316	Ямало-Ненецкий автономный округ	Ямало-Ненецкий авт. окр.	Уральский федеральный округ	Ямало-Ненецкий автономный округ	Ямало-Ненецкий автономный округ	Ямало-Ненецкий автономный округ
Yaroslavl	Yaroslavl	57.6525163	39.584336		1253189	1253389	1194605	967526	227079	Ярославская область	Ярославская обл.	Центральный федеральный округ	Ярославская область	Ярославская область	Ярославская область

